metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	3586832	14271161	10181882	124781491	183966405	228823230	112783443	184221626	194610295
Short term liabilities	32120000	49600000	83196655	113733897	182275846	748897364	810063423	939521490	910000000
Long term liabilities	37381000	51286000	58859623	75571515	165641454	262513065	366194853	425443936	425443936
Equity	-821345	15842315	58653622	329809391	829018125	1257243887	1261707915	1515256662	1586152052
Total assets	110334819	158550963	263759020	716494505	1464649965	2635598496	2830946836	3316178009	3416683304
Income statement									
Revenue	114542000	149625345	359858381	940027301	2503534099	4358112817	4730985846	5111375211	5609026192
Operating income	12710000	13362000	71340687	232374920	231780929	499630142	426780191	468945451	484281704
Net income	59666	1481529	42923821	169171095	191563448	232318377	97549322	212322995	157506914
Statistics									
Price				7.50	9.25	11.95	8.66	13.98	11
Dividend					0.0069	0.0076			0.0119
#config	ist:suwen	560000000	1	Total assets|Revenue|Operating income					
