metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents		121994365	29056733	169816380	3945073357	6033282124	6977959360	5380882258	5963424675
Short term liabilities		694157163	701287673	1392893531	786927447	1383948148	1572160708	1844511535	2274990499
Long term liabilities		238135272	1034565399	1453881865	1342758775	2263025763	2389374999	2735393642	3592638485
Equity		-371360282	-127652925	947723315	9679897203	15842902702	17749872882	19003488612	21362544402
Total assets		2056036881	2743598064	5460872490	15139311500	24355971105	27764920256	30005622838	34909692649
Income statement									
Revenue		2167306436	3834030729	8619797534	19988027295	32009061817	35051109459	38636113760	42921257051
Operating income		-54165734	496863857	551029591	2105725327	4766967073	4871587382	4620020327	4573668592
Net income		-310111734	-130490984	361839810	2457788629	1911667376	2088490066	2454410885	2858660378
Statistics									
Price					117.60	150.70	167.20	177.00	235
Dividend								0.0200	
#config	ist:tabgd	261292000	1	Revenue|Total assets					
