metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents		3618960	19589620	51767350	361656557	200098146	15962036	55838314	13151450
Short term liabilities		99399340	252637211	321122829	178112224	160539805	180487684	347372879	386839089
Long term liabilities		11583546	4774965	102003050	112018536	102044378	83769098	85750136	84059024
Equity		58956575	9992552	500845583	1280649168	2065666666	2221317602	2350579315	2502912564
Total assets		188798442	452433882	1022705630	1623847680	2473526596	2889147295	3069035143	3238940968
Income statement									
Revenue		124167310	251901471	711233305	995212355	1405255328	1685371265	1830992251	1882966009
Operating income		14058259	58022063	299284234	371053548	144194138	240740480	333928862	424092048
Net income		6622649	27123687	350511132	-239346100	101268724	-154123202	-177119109	-94480488
Statistics									
Price					584.00	428.00	356.75	312.50	462
Dividend									
#config	ist:tarkm	21000000	1	Equity|Total assets|Revenue|Operating income					
