metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	3882681	5443456	1402142	5143504	17554420	12952136	12825346	14227186	30266728
Short term liabilities	3512821	6420389	5197234	7735838	17341522	16967215	18581239	20180568	21538861
Long term liabilities	4212464	5584889	12787487	20088239	40863487	50935679	57159965	63841165	68352464
Equity	8773935	8312423	15021960	23166338	45968839	59059757	62919680	70441769	80036741
Total assets	25556843	32024208	51969566	84335435	154826945	178651832	194452772	228449359	248234599
Income statement									
Revenue	4756204	2415468	5459329	18308307	34433068	59211470	62867134	68093748	76645528
Operating income	1307662	-501308	602509	3954880	6502355	10373620	10684278	11846226	14328494
Net income	2415416	-2283316	522412	2046662	7777419	7063169	5029858	2376766	4687493
Statistics									
Price	29.64	21.16	31.08	93.50	108.10	273.75	236.90	264.50	240
Dividend		0.0691							
#config	ist:tavhl	363281250	1000	Revenue|Operating income					
