metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	347427	1032516	1468521	2171062	5030955	7236665	2689333	9878362	10074939
Short term liabilities	132653	397832	44002	914818	2387322	1086664	267094	4037371	6698601
Long term liabilities	58000	33000	61000	71000	175928	308025	677533	678436	
Equity	1305899	1830493	2926569	4142596	10262257	17544893	19007027	22682281	23137610
Total assets	2535214	3459931	4769900	8756501	19285284	29217086	28091156	43834786	43786036
Income statement									
Revenue	2171024	2589150	3674862	7955593	17143154	30148500	31429383	35162564	38346497
Operating income	591833	637538	912565	1681288	1493848	5684801	6151021	7349318	7345824
Net income	437459	525324	1204233	2028733	1031436	3955003	3712677	4325179	4039445
Statistics									
Price	12.88	18.01	19.08	38.50	73.00	142.80	171.00	170.90	170
Dividend			0.0188	0.0981		0.0337		0.0461	
#config	ist:tborg	322508253	1000	Total assets|Revenue|Operating income|Net income					
