metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	10589685	12562528	20060640	32853693	59496057	93629252	134074640	127066341	122346742
Short term liabilities	3073254	3129709	8848413	16721247	26137561	51905095	55946834	59437001	62659271
Long term liabilities	12677394	16353685	27929720	37133103	57946648	52435164	94764674	113421078	118621574
Equity	18046489	20784767	22562025	30891061	122247819	186966530	209834864	219706432	243029365
Total assets	45714975	51498393	70682643	101264805	247083325	344275619	418120141	457381687	491419431
Income statement									
Revenue	23996262	28272751	34906646	52169979	102962781	158854007	174788233	191746255	210119256
Operating income	6300556	7961411	14685725	21025170	31278888	35123330	45405942	59109375	63528044
Net income	3246487	4237086	5031098	11053193	12553996	23523425	23970973	25267147	27599386
Statistics									
Price	13.93	16.24	18.79	37.88	58.60	93.15	94.35	96.15	98
Dividend		0.0235	0.0754	0.0322	0.0188	0.0303		0.0205	0
#config	ist:tcell	2200000000	1000	Total assets|Revenue|Operating income					
