metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	8464031	11253253	9874037	29245674	19160781	100483826	96863055	18866480	56950783
Short term liabilities	1867966	424718							
Long term liabilities	42213		592421	221602		2095172	1770098	1445024	1119950
Equity	49850506	53045579	66978726	84967924	125203210	226493919	255977238	256067489	273995043
Total assets	2753995206	2515300995	2963886376	4136016342	5877823611	20767360265	25565947996	18073457782	18308603704
Income statement									
Revenue	26094665	17705030	26877263	65842154	122375096	218687017	260803028	225503173	236057036
Operating income	15115804	5048542	18485577	27987656	60111588	171543397	212735187	165260713	162819378
Net income	11547986	3194805	13519691	21177399	23569467	89315963	109789904	92891669	100229229
Statistics									
Price	4.72	11.56	15.46	21.88	30.10	61.50	58.10	90.00	184
Dividend				0.0080	0.0213	0.0044	0.0124		
#config	ist:tgsas	15000000	1	Equity|Total assets|Revenue|Operating income					
