metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	15237	13972	36919	90976	189150	253275	276022	249351	326704
Short term liabilities	18450	32600	53361	70184	109810	130410	138728	138324	150890
Long term liabilities	60976	89994	145647	192799	310362	359529	398942	446268	492424
Equity	40795	39511	9065	181427	457112	679887	717346	752073	843939
Total assets	146871	187402	353708	578571	1050091	1399606	1534946	1652589	1794446
Income statement									
Revenue	75118	46448	97378	311169	504398	745430	774904	823353	884327
Operating income	6022	-699	16061	56167	100663	139152	135501	129031	106381
Net income	4536	-5588	8214	47432	162998	113357	104585	100983	105512
Statistics									
Price	14.31	12.90	20.14	140.90	236.40	282.25	305.00	283.50	315
Dividend							0.0131		0.0102
#config	ist:thyao	1380000000	1000000	Equity|Total assets|Revenue|Operating income					
