metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	2825487	4249809	4214726	12019197	24815473	19715820	26525843	15984204	18738540
Short term liabilities	1821507	2777079	4138262	5070816	6738258	10937109	12053820	15732568	14543886
Long term liabilities	2104213	3862706	3620796	1888939	5092531	16963850	17603396	20201419	23355172
Equity	4329209	4468611	5743391	11313640	36879584	47101612	44954843	48238985	52793804
Total assets	12809287	19475621	23473341	40375815	78667295	91659980	104604053	140832634	146077500
Income statement									
Revenue	18896914	23556747	29684305	65545354	127601000	120266571	110811157	156485081	222261407
Operating income	1672761	2076721	4134174	9014212	14008004	4517198	617673	-819487	349897
Net income	1481639	1784170	3281316	8562191	15083439	5221439	2274969	2738849	3635179
Statistics									
Price	26.62	33.66	77.50	165.70	219.20	200.90	178.90	196.20	259
Dividend		0.1325	0.0887	0.0796	0.0328	0.0727	0.0671		
#config	ist:toaso	500000000	1000	Total assets|Revenue					
