metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	1133285	574896	763409	1911206	5682959	23120864	26521392	23608489	27265727
Short term liabilities	1954422	2179935	2459793	1807442	1660700	872351	813518	660255	
Long term liabilities	3029817	2447393	2578220	2597243	1983764	1130171	822379	617494	
Equity	8478139	8769917	14519010	33795413	72239372	97238558	107780545	113946799	124325748
Total assets	13720073	13714787	19906999	39280748	80591755	115430705	128497378	136503769	148506621
Income statement									
Revenue	991087	1105948	1483729	2661926	4970728	12510573	12928880	13676225	14574244
Operating income	1644025	1336645	6638784	19364078	11787515	8132200	8193513	15125006	15376360
Net income	86579	293001	5306805	18436300	12638978	8611405	8306802	16057725	15997301
Statistics									
Price	2.80	3.89	3.96	19.30	32.04	62.80	61.60	66.85	75
Dividend					0.0143	0.0431		0.0558	
#config	ist:trgyo	1000000000	1000	Total assets|Revenue|Operating income					
