metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	4946070	5007927	7696870	15741	21419290	18071168	8868236	9591977	14525253
Short term liabilities	6408981	6115610	7117278	12318327	33378708	29032368	14695465	18814524	18257589
Long term liabilities	14374174	15118982	22686099	29602025	32500749	43905519	50269624	47075256	52430224
Equity	9442853	12037376	14249904	19970279	98290214	146091573	165220752	179584933	202689319
Total assets	39909286	44722520	58337635	80731704	194720878	270256898	285396103	308011999	346664330
Income statement									
Revenue	23657108	28288875	34272934	48042285	100184658	161650927	179223546	196673021	215842008
Operating income	6248419	7463514	8111012	9301008	-4858252	25284520	32229652	39993796	49980585
Net income	2406783	3177873	5761454	4134846	16421552	8456145	12547123	16000873	25098968
Statistics									
Price	7.34	8.63	9.78	24.56	24.96	44.68	48.24	58.85	51
Dividend		0.0210	0.0770	0.1137					
#config	ist:ttkom	3500000000	1000	Equity|Total assets|Revenue					
