metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	746806508	1890430861	1566586803	4416872941	1748106742	6594097719	11023047069	7746240369	5528302260
Short term liabilities	397098120	252477681	579577767	3312968775	4972612535	7753102573	10031483006	10804690128	12204690312
Long term liabilities	979761447	1026898224	555263920	577224765	816364756	2039002503	4565192316	4516224874	4027636931
Equity	764014265	1441166437	2050994098	3638213829	15397990316	16967510137	14053116529	15158613910	16543004715
Total assets	2915771429	4592005561	6110646593	13795942162	32456340727	35933462064	42503718579	40015810102	40584999273
Income statement									
Revenue	3806474633	6243308297	11644197445	21834630573	58435633948	66969628539	63098127917	59908910762	58303188717
Operating income	288093021	934895180	1413317331	3018573371	11307203590	7628216268	5543384171	4603906646	3795379538
Net income	111893466	776443043	1322187577	2971018561	9341958870	5740536185	4228741456	2626248992	1983240602
Statistics									
Price	29.04	89.33	114.13	352.00	704.00	719.00	775.50	581.50	571
Dividend		0.0449	0.0675	0.0830	0.0640	0.1000	0.0594		
#config	ist:ttrak	100066875	1	Total assets|Revenue|Operating income					
