metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	10652009	19825292	21176186	49770335	98023568	73534436	46670970	90351730	117091013
Short term liabilities	5177702	8501745	11628211	11994491	29968036	9053937	9845891	9394543	14560391
Long term liabilities	13898092	20743323	21565453	21274459	5358081	9934698	11228926	31975783	28099968
Equity	12962835	11446401	18808958	66743279	200763253	282215289	282015692	306637509	343121457
Total assets	55511558	61168522	106257111	168892335	366793673	454127527	475900121	545630257	610140441
Income statement									
Revenue	89600776	63243815	152492019	481764656	686528507	810385588	803535933	795983870	820427049
Operating income	2427378	-646837	1477304	45971985	74761483	37136437	36717259	35762618	38827214
Net income	525837	-2493511	3494837	47934321	53577336	18315157	18091889	22029919	26447524
Statistics									
Price	18.19	15.43	21.80	75.70	144.00	142.50	135.00	140.00	187
Dividend					0.1170	0.1292	0.0522		0.0384
#config	ist:tuprs	1926795598	1000	Total assets|Revenue|Operating income					
