metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents									
Short term liabilities									
Long term liabilities									
Equity	2484251273	3467939378	4256479533	5750746909	14395079548	27665054345	32085557927	35544289846	40612552009
Total assets	8704611067	11072552932	14387498387	27529148215	76297300664	95308108111	122893211198	138192254698	151241216799
Income statement									
Revenue	7167001712	8887128129	11749646570	25173422675	59518179027	101365792989	114604904865	123634372421	133920299255
Operating income	915161026	1340620603	1297036851	502449048	7905204699	17259524049	17959228476	21653590910	22424038707
Net income	828378599	1161457615	1086276248	962400801	6186049487	12780600278	16790546008	15063940024	14937836527
Statistics									
Price	0.24	1	1	1	5	9	9	8.35	9
Dividend			0.0639	0.0775	0.0050	0.0160		0.0206	
#config	ist:tursg	10000000000	1	Revenue|Net income					
