metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	6031087	8441900	11298181	12152535	15671089	31220041	29220567	27391388	29570256
Short term liabilities	5239003	780131	2863049	11401487	5460649	15274421	19899598	44408262	46959327
Long term liabilities	701318	8607951	15313776	12349131	25102592	32734945	35521562	20879282	21513932
Equity	4411329	5693648	2986714	5685906	17971432	31282767	36650682	36116656	40151407
Total assets	12791752	17892504	26243625	37858791	61589644	97437437	112279639	121715463	129208588
Income statement									
Revenue	7803120	9400861	12537080	28196847	55836141	84097908	92863820	100612176	106422373
Operating income	2274379	3311958	8395201	8132648	18197749	20123423	23886576	23614628	22188591
Net income	996503	1016415	-464332	-353101	3378878	7400518	9343406	8804638	7704797
Statistics									
Price	23.20	23.14	17.45	43.72	83.90	119.40	115.30	105.60	105
Dividend			0.0355					0.0745	
#config	ist:ulker	369275855	1000	Equity|Total assets|Revenue|Operating income					
