metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	55765707	55765707	165968680	848848231	963708403	1670886791	1130112776	832497837	400080668
Short term liabilities	241502723	256808487	209644878	463796793	618459026	875157617	912161225	996533375	997024219
Long term liabilities	177829417	303367590	209194212	258284925	635409433	765353590	992031261	1026249934	937666864
Equity	324127030	390163725	523116870	1883690265	5225827140	7919497708	8725063775	8552762521	9190017987
Total assets	1122583287	1281617288	1508527977	3903733553	8811581777	12750116545	13765036607	13522071089	14383177425
Income statement									
Revenue	1280972428	983997864	1693357762	4237930086	9862480812	14855442098	15685106575	16861933905	18117500797
Operating income	209679537	60495861	343394125	1368032498	1764320806	1171956964	1041492370	538688201	788760135
Net income	83845778	13414555	222444270	1081275316	1944358182	806489082	413166386	-159823444	-166625561
Statistics									
Price	4.57	6.67	9.56	60.05	77.80	83.50	69.20	53.60	58
Dividend			0.0389	0.0738	0.0426	0.0220	0.0533		
#config	ist:vakko	160000000	1	Total assets|Revenue|Operating income					
