metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents	2394334	3201571	2090853	1592564	2330014	2812267	2750967	2064871	2107101
Short term liabilities	7242196	6980987	11071904	7411278	28147281	43548745	48376968	48618491	55978015
Long term liabilities	568081	1833675	1045222	1091203	2789256	19239195	21611950	27539145	29176430
Equity	3690656	7071747	9441862	11969144	36044256	44734592	43953715	38941031	37375991
Total assets	19452405	27078418	43092689	62872974	125180830	174493923	184449455	194605175	201735081
Income statement									
Revenue	17174123	21546180	32505835	58373849	112215734	142736499	147565269	150805473	151818734
Operating income	1040222	1721320	1098646	42204	-6814705	-7900572	-10650234	-16237579	-19837669
Net income	324047	1772599	1895487	856747	1449625	-11020692	-15881680	-22179579	-23879315
Statistics									
Price	12.82	21.10	24.10	71.25	46.58	70.50	47.76	34.32	36
Dividend			0.2297						
#config	ist:vestl	335456275	1000	Equity|Revenue					
