metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents									
Short term liabilities									
Long term liabilities									
Equity	41191580	47568366	63489206	126261939	178880993	192813546	205681227	221704036	241282997
Total assets	411195020	486489679	780820906	1184267014	1863373400	2553880784	2735408764	3032656762	3040766954
Income statement									
Revenue	37851770	35149	54084352	133298907	232944677	478646927	516501224	547999214	571701685
Operating income	4533780	6797108	13893774	69193768	85028901	33693912	36593117	41495116	49903658
Net income	3600186	5079683	10490016	52745301	68010164	29018992	30136101	34363528	44423948
Statistics									
Price	2.48	3.09	3.48	11.81	19.76	30.76	24.16	31.70	34
Dividend			0.0269	0.0229	0.0832	0.0416			
#config	ist:ykbnk	8447051284	1000	Revenue|Net income					
