metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30	2025/9/30
Balance sheet									
Cash & cash equivalents		30497497	607345344	41297033	1395602945	1082730614	292337962	188950638	263237431
Short term liabilities		201480849	93097	292082920	1900937742	2812675574	2771197773	2531810851	2626222002
Long term liabilities			2590400	813101656	1599046535	2270046509	2436822920	3243776551	2995888706
Equity		5090557615	8372611115	19399778728	36338677384	55079984829	60720390164	66083027273	71446179966
Total assets		5435903353	8643897092	20662426003	40278626933	63638033898	69983429868	75440560978	81035305877
Income statement									
Revenue		144637286	186801145	676665299	3511511858	3467882533	3784553761	3994596063	4025597186
Operating income		356031669	1113001283	10855532799	5287832627	7304309873	7463540988	7674222904	7840238261
Net income		377763665	1320242261	10945313261	4148226526	3057439536	3104560493	4842717225	5129150206
Statistics									
Price			2.42	5.72	5.44	13.81	20.12	24.32	23
Dividend				0.0010	0.0009	0.0042			0.0027
#config	ist:zrgyo	4693620000	1	Total assets|Revenue|Operating income					
