metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30
Balance sheet								
Cash & cash equivalents								
Short term liabilities								
Long term liabilities	7470	31300	73880	84180	62380	53890	43020	49590
Equity	90490	65340	63090	50670	62150	56950	66760	66800
Total assets	338520	323890	351000	352750	352580	364980	344080	331230
Income statement								
Revenue	259970	274150	365820	394330	383290	391040	395760	400370
Operating income	63240	65340	108950	119440	114300	123220	125680	127370
Net income	55260	57410	94680	99800	97000	93740	96150	97290
Statistics								
Price	72.88	133.72	178.20	129.93	185.64	252.20	222.13	205.17
Dividend		0.0071	0.0058	0.0060	0.0055	0.0043		
#config	aapl	14840390000	1000000	Revenue|Operating income|Net income				
