metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30
Balance sheet								
Cash & cash equivalents								
Short term liabilities								
Long term liabilities								
Equity	26	88	141	151	135	349	373	398
Total assets	127	207	276	348	329	498	510	558
Income statement								
Revenue	29	42	80	154	258	426	459	473
Operating income	-41	-64	-58	-39	21	138	151	154
Net income	-48	-75	-71	-65	-28	197	206	208
Statistics								
Price	3.92	2.01	1.32	3.88	4.55	17.49	19.84	18.21
Dividend								
#config	nasdaq:adma	238631000	1000000	Equity|Total assets|Revenue				
