metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30
Balance sheet								
Cash & cash equivalents	55021	84396	96049	70026	86780	101202	94565	96890
Short term liabilities	0	0	0	0	0	0		
Long term liabilities	63205	84389	116395	140118	135611	130900	133245	157170
Equity	62060	93404	138245	146043	201875	285970	305867	333770
Total assets	225248	321195	420549	462675	527854	624894	643256	682170
Income statement								
Revenue	280522	386064	469822	513983	574785	637959	650313	670038
Operating income	14541	22899	24879	12248	36852	68593	71691	76190
Net income	11588	21331	33364	-2722	30425	59248	65944	70623
Statistics								
Price	92.34	164.29	168.64	84.00	149.93	221.30	190.26	219.39
Dividend								
#config	nasdaq:amzn	10664910000	1000000	Equity|Total assets|Revenue|Operating income				
