metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30
Balance sheet								
Cash & cash equivalents	2630	2780	3330	2960	5000	8240	8150	8840
Short term liabilities								
Long term liabilities								
Equity	2890	3320	3980	4890	7220	9990	10120	10900
Total assets	4190	4740	5730	6780	9960	14040	14510	16530
Income statement								
Revenue	2410	2320	2950	4380	5860	7000	7430	7940
Operating income	805	699	924	1530	2260	2940	3138	3425
Net income	859	634	840	1350	2090	2850	3026	3249
Statistics								
Price	12.70	18.06	35.79	30.34	57.89	111.45	77.48	102.31
Dividend								
#config	nyse:anet	1256865000	1000000	Equity|Total assets|Revenue|Operating income|Net income				
