metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30
Balance sheet								
Cash & cash equivalents			1650	6300	9550	11770	15240	10000
Short term liabilities								
Long term liabilities	11760	7630						
Equity	7520	8530	14910	15960	19570	23330	33930	31120
Total assets	28470	28160	30840	46540	71330	96690	115870	119020
Income statement								
Revenue	18360	22380	32930	64420	83750	106360	112240	115570
Operating income	654	1430	650	2870	4160	5000	5245	4454
Net income	234	613	470	2470	4260	5620	6245	5841
Statistics								
Price	3.28	8.57	11.63	8.19	8.95	11.48	16.97	15.60
Dividend		0.0009	0.0005	0.0065	0.0159	0.0162		
#config	byddf	2950000000	1000000	Equity|Total assets|Revenue|Operating income				
