metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30
Balance sheet								
Cash & cash equivalents							3830	4160
Short term liabilities								
Long term liabilities								
Equity	742	870	1030	1460	2300	3280	3450	3790
Total assets	1400	2730	3620	5030	6650	8700	8720	9290
Income statement								
Revenue	481	874	1450	2240	3060	3950	4129	4336
Operating income	-146	-88	-137	-190	2	-114	-247	-337
Net income	-141	-92	-234	-183	89	-19	-171	-295
Statistics								
Price	50.03	210.29	208.95	105.29	246.89	349.31	352.58	509.31
Dividend								
#config	nasdaq:crwd	250955000	1000000	Equity|Total assets|Revenue				
