metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30
Balance sheet								
Cash & cash equivalents								5850
Short term liabilities								6450
Long term liabilities	41540	44410	42350	40640	36490	43520	39820	36440
Equity	88880	83580	88550	95010	99280	100000	101930	108770
Total assets	193980	201550	203610	203630	205580	196220	197050	195830
Income statement								
Revenue	69420	65130	67390	82580	88450	90890	92080	93670
Operating income	11710	3580	3740	6770	8740	11580	12680	13450
Net income	11050	-2860	2000	3150	2350	4970	5610	10890
Statistics								
Price	143.77	181.17	155.93	86.88	90.71	110.80	98.70	124.01
Dividend		0.0072				0.0078		
#config	nyse:dis	1797934000	1000000	Equity|Total assets|Revenue|Operating income|Net income				
