metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30
Balance sheet								
Cash & cash equivalents	119675	136694	139649	113762	110916	95657	95328	53480
Short term liabilities	45221	56834	64254	69300	81814	89122	91654	
Long term liabilities	29246	40238	14817	14701	11870	10883	10886	
Equity	201442	222544	251635	256144	283379	325084	345267	362920
Total assets	275909	319616	359268	365264	402392	450256	475374	502050
Income statement								
Revenue	161857	182527	257637	282836	307000	350000	359695	371493
Operating income	34231	41224	78714	74842	84293	112390	117524	121479
Net income	34343	40269	76033	59972	73795	100118	110996	115577
Statistics								
Price	66.81	86.98	146.00	88.73	139.56	192.69	156.23	177.39
Dividend						0.0032		
#config	goog	12319000000	1000000	Revenue|Operating income|Net income				
