metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30
Balance sheet								
Cash & cash equivalents								
Short term liabilities								
Long term liabilities								
Equity	261	279	294	292	327	344	351	356
Total assets	2690	3380	3740	3670	3880	4010	4360	4550
Income statement								
Revenue	141	125	126	157	241	281	283	278
Operating income	44	33	58	47	65	78	79	74
Net income	36	28	48	37	49	58	59	56
Statistics								
Price	138.63	125.36	158.48	134.10	172.08	239.32	245.30	289.91
Dividend	0.0244	0.0283	0.0240	0.0298	0.0241	0.0200		
#config	jpm	2749754000	1000000000	Revenue|Operating income|Net income				
