metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30
Balance sheet								
Cash & cash equivalents								
Short term liabilities								
Long term liabilities	13490	12910	12980	14030	22300	30220	35300	36360
Equity	2610	5640	8980	10650	10770	14190	15760	18350
Total assets	39290	46630	48810	49490	64010	78710	89390	100000
Income statement								
Revenue	22320	24540	28320	28540	34120	45040	49000	53260
Operating income	5790	6850	7550	8280	10330	17040	19720	22440
Net income	4640	6190	5580	6240	5240	10590	11110	13800
Statistics								
Price	131.30	167.01	277.25	365.84	592.20	773.84	825.91	779.53
Dividend		0.0175	0.0123	0.0107	0.0078	0.0067		
#config	nyse:lly	946457000	1000000	Equity|Total assets|Revenue|Operating income|Net income				
