metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30
Balance sheet								
Cash & cash equivalents	133819	54420	48060	26360	31820		79618	
Short term liabilities	5516						13578	
Long term liabilities	72850					22310	57568	17620
Equity	102330	118300	241990	166540	206220	268480	321891	343480
Total assets	286560	301310	333780	364840	411980	512160	562624	619000
Income statement								
Revenue	125500	143015	168088	198270	211915	245122	253330	265043
Operating income	42959	52959	69916	83383	88675	109433	113852	120247
Net income	39240	44281	61271	72738	72361	88136	92021	97215
Statistics								
Price	157.59	221.68	339.32	239.82	370.87	424.83	375.39	497.41
Dividend		0.0100	0.0083	0.0097	0.0080	0.0067		
#config	msft	7433166000	1000000	Revenue|Operating income|Net income				
