metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30
Balance sheet								
Cash & cash equivalents	8900	18720	21940	27400	37930	53350	57690	61800
Short term liabilities								
Long term liabilities								
Equity	3540	9200	11790	16940	26400	42920	45470	50500
Total assets	24300	24300	28430	34110	49080	69190	73160	79150
Income statement								
Revenue	4360	8620	14570	19390	34950	54720	55790	56770
Operating income	-1240	-1360	1070	4510	8280	15070	33560	32630
Net income	-1010	-1040	1200	4680	8470	15620	13760	13590
Statistics								
Price	38.15	179.11	59.45	81.55	145.64	94.39	118.35	104.66
Dividend								
#config	nasdaq:pdd	5678586000	1000000	Equity|Total assets|Revenue				
