metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30
Balance sheet								
Cash & cash equivalents								
Short term liabilities								
Long term liabilities								
Equity	54	103	67	187	137	228	266	318
Total assets	105	152	134	277	706	828	837	890
Income statement								
Revenue	23	25	30	93	241	441	488	531
Operating income	-29	-26	-39	-31	1	37	52	76
Net income	-33	-28	-44	-36	-25	35	48	70
Statistics								
Price	18.79	18.97	19.45	61.72	76.80	59.28	67.28	134.01
Dividend								
#config	nasdaq:tmdx	34090000	1000000	Equity|Total assets|Revenue				
