metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30
Balance sheet								
Cash & cash equivalents								
Short term liabilities								
Long term liabilities								
Equity	34680	36210	37590	35580	38730	39140	38300	38660
Total assets	72570	80920	82900	85500	90500	94510	91890	100000
Income statement								
Revenue	22980	21850	24110	29310	32650	35930	36810	37620
Operating income	15400	14110	15830	19750	22020	24160	24710	25370
Net income	11650	10470	12010	14630	16990	19460	19700	19640
Statistics								
Price	187.83	218.36	217.87	207.76	258.87	315.31	350.46	355.05
Dividend		0.0060	0.0057	0.0084	0.0078	0.0076		
#config	nyse:v	1698683000	1000000	Revenue|Operating income|Net income				
