metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30
Balance sheet								
Cash & cash equivalents								
Short term liabilities								
Long term liabilities								
Equity	31	142	151	158	192	269	288	309
Total assets	63	173	194	214	275	371	376	430
Income statement								
Revenue	140	214	260	362	471	606	621	658
Operating income	4	12	1	2	33	63	60	66
Net income	2	8	2	1	25	53	51	51
Statistics								
Price		24.93	18.42	14.92	15.43	37.16	30.47	38.52
Dividend								
#config	nasdaq:vitl	44686000	1000000	Equity|Total assets|Revenue|Operating income				
