metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30
Balance sheet								
Cash & cash equivalents								
Short term liabilities								
Long term liabilities	15000	12200	14330	14240	14040	13050	13400	17310
Equity	15540	15970	17640	20290	25400	31960	33960	36550
Total assets	33380	32480	34910	37890	44010	51040	53290	55830
Income statement								
Revenue	5110	4600	4730	5850	6630	7990	8550	9280
Operating income	1280	763	818	863	1120	1310	1385	1588
Net income	1230	978	336	141	340	951	1081	1128
Statistics								
Price	81.01	63.80	85.90	65.55	90.24	124.92	153.21	153.73
Dividend		0.0418	0.0284	0.0372	0.0271	0.0203		
#config	nyse:well	668826000	1000000	Equity|Total assets|Revenue				
