metricName	2019/12/30	2020/12/30	2021/12/30	2022/12/30	2023/12/30	2024/12/30	2025/3/30	2025/6/30
Balance sheet								
Cash & cash equivalents								
Short term liabilities								
Long term liabilities	62970	45510	42560	50300	51450	51080	57890	55580
Equity	74670	80920	83250	76690	83860	91010	83790	96860
Total assets	236495	252496	244860	243197	252399	260823	262370	270840
Income statement								
Revenue	523964	559151	572754	611289	648125	680985	685086	693151
Operating income	20568	22548	25942	20428	27012	29348	29642	28992
Net income	14881	13510	13673	11680	15511	19436	18819	21348
Statistics								
Price	39.80	48.06	47.72	47.26	53.10	90.57	87.79	97.78
Dividend		0.0154	0.0157	0.0156	0.0138	0.0085		
#config	wmt	7972851000	1000000	Revenue|Operating income|Net income				
